Favorable,Rating,Unfavorable,Rating
2,2,1,5
3,4,6,3
4,3,9,1
5,1,10,5
7,4,12,2
8,2,13,3
11,4,15,2
14,4,16,3
17,3,19,4
18,2,20,2
22,1,21,2
23,3,25,5
24,4,29,1
26,2,35,1
27,3,36,4
28,5,38,2
30,2,41,3
31,4,42,5
32,2,44,4
33,3,50,5
34,3,51,2
37,5,52,4
39,3,54,3
40,4,55,1
43,2,56,3
45,2,59,5
46,3,63,3
47,1,66,3
48,3,70,3
49,4,72,2
53,3,74,1
57,2,75,2
58,4,76,4
60,3,77,3
61,3,79,5
62,1,80,2
64,4,82,4
65,2,84,2
67,4,85,5
68,2,87,3
69,3,89,5
71,4,90,2
73,5,91,4
78,2,92,3
81,3,93,1
83,1,94,3
86,3,95,4
88,2,96,3
97,3,99,3
98,5,100,2
